mal_id,title,issue
19049,Tobe! Pegasus Kokoro no Goal ni Shoot,Missing Score
19167,Senbon Matsubara,Missing Score
19177,Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,Missing Score
19311,Turuturutu Narongi,Missing Score
19325,Kwaegeol Longman Narongi,Missing Score
19445,Tetsujin 28-gou Gao!,Missing Score
19457,Green Saver,Missing Score
19463,Hamuko Mairu!,Missing Score
19467,Revbahaf Wang-gug Jaegeon-soelgi,Missing Score
19497,Kagerouka-kun,Missing Score
19501,Giga Tribe,Missing Score
19547,Beompeoking Jaepeo,Missing Score
19555,General Ttoli: 3rd Tunnel,Missing Score
19559,Otoko wa Tsurai yo: Torajirou Wasurenagusa,Missing Score
19583,Ishii Hisaichi no Dai Seikai,Missing Score
19695,Clover 4/3,Missing Score
19729,Naniwa Yuukyouden: Nekketsu!! Bakushou Mankai-hen,Missing Score
19745,Naniwa Yuukyouden: Chou Gokudou! Yoru no Bat wa Manrui-hen,Missing Score
19749,Naniwa Yuukyouden: Kyouretsu! Ana ga Attara Iretai-hen,Missing Score
19753,Naniwa Yuukyouden: Kanketsu-hen,Missing Score
19817,Namakemono ga Miteta,Missing Score
19839,Go Player 2; Go Youngsters 2; Go Boy 2,Missing Score
19873,Marude Dameo,Missing Score
19887,Shouri Toushu,Missing Score
19901,Donkikko,Missing Score
19905,"Dai-chan, Daisuki.",Missing Score
19907,Ecchan no Sensou,Missing Score
19909,Pipi Tobenai Hotaru,Missing Score
19941,Kimu no Juujika,Missing Score
19943,Eikou e no Spur: Igaya Chiharu Monogatari,Missing Score
19965,Ikinari Dagon,Missing Score
19981,Shisukon Ouji,Missing Score
19983,Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,Missing Score
19985,Uchuujin Pipi,Missing Score
19987,Dr. Zen,Missing Score
19989,Tatakae! Osper,Missing Score
19991,Tobidase! Bacchiri,Missing Score
19993,Kaminari Boy Pikkari★bee,Missing Score
19995,King Kong - 001/7 Tom Thumb,Missing Score
19999,Sobakasu Pucchi,Missing Score
20001,Mouretsu Atarou,Missing Score
20003,Roppou Yabure-kun,Missing Score
20005,Pinch to Punch,Missing Score
20009,Doubutsu Mura Monogatari,Missing Score
20023,Otanoshimi Anime Gekijou,Missing Score
20025,Itazura Tenshi Chippo-chan,Missing Score
20027,Nihon Meisaku Douwa Series: Akai Tori no Kokoro,Missing Score
20079,Ijiwaru Baasan,Missing Score
20081,Ijiwaru Baasan (1996),Missing Score
20085,Only You: Viva! Cabaret Club,Missing Score
20111,Time Ranger Cesar Boy no Bouken: Roma Teikoku-hen,Missing Score
20123,Kappamaki and the Sushi Kids,Missing Score
20147,Robokko Beeton,Missing Score
20173,Mori no Senshi Bonolon,Missing Score
20183,Manga Ijin Monogatari,Missing Score
20199,Ganbare Gonbe,Missing Score
20201,Easy Cooking Animation: Seishun no Shokutaku,Missing Score
20205,Yama ni Kagayaku: Guide-ken Heiji Gou,Missing Score
20227,Yocchan no Biidama,Missing Score
20229,Makkuro na Obentou,Missing Score
20231,Manga Kodomo Bunko,Missing Score
20233,Tonari no Tamageta-kun,Missing Score
20237,Anime Document: München e no Michi,Missing Score
20239,Hana no Kakarichou,Missing Score
20241,Manga Hana no Kakarichou,Missing Score
20383,Baka Mukashibanashi Movie: Jijii Wars,Missing Score
20755,TINY★TWIN★BEARS,Missing Score
20797,Sennen no Yakusoku,Missing Score
20963,Shimajirou no Wow! Movie 2: Shimajirou to Kujira no Uta,Missing Score
21019,Noonbory & the Super 7,Missing Score
21021,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,Missing Score
21053,Ikemen Kyuugo-tai Nurse Angels,Missing Score
21101,Katta-kun Monogatari,Missing Score
21161,Wansa-kun OVA,Missing Score
21483,Sanchoume no Yuuhi,Missing Score
21485,Dokkan! Robotendon,Missing Score
21509,Trip Trek (2010),Missing Score
21517,Soratobu Usagi no Yuukai Boushi: Boku Iya da yo!,Missing Score
21549,Hitotsuboshi-ke no Ultra Baasan,Missing Score
21551,Kaitei Toshi no Dekiru made,Missing Score
21553,Asobo Toy-chan,Missing Score
21761,Ari to Hato,Missing Score
21763,Ari to Hato (1953),Missing Score
21913,Kanbee-kun ga Yuku,Missing Score
21951,Sore Ike! Anpanman: Hiya Hiya Hiyariko to Babu Babu Baikinman,Missing Score
21953,Sore Ike! Anpanman: Horrorman to Hora Horako,Missing Score
21955,Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,Missing Score
21973,Sore Ike! Anpanman: Anpanman to Oyakusoku,Missing Score
21975,Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,Missing Score
21981,Pic-lele,Missing Score
22037,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,Missing Score
22065,The Adventures of T-Rex,Missing Score
22131,Train Heroes Movie,Missing Score
22197,Yuuto-kun ga Iku Movie,Missing Score
22219,Warera Salaryman Tou,Missing Score
